stock_id,start_date,end_date,SD_close,ED_close,combination,return,RT_%_Rank,remark,RT_rank
1101,2010-01-04,2010-09-30,12.18,12.65,201001-201010,0.03858785,13.924549829401908,,68.0
1102,2010-01-04,2010-09-30,13.87,13.93,201001-201010,0.00432588,12.786336570712734,,79.0
1216,2010-01-04,2010-09-30,16.67,19.51,201001-201010,0.17036593,18.302335399251007,,43.0
1301,2010-01-04,2010-09-30,33.48,40.57,201001-201010,0.21176822,19.677756468678545,,37.0
1303,2010-01-04,2010-09-30,29.66,36.46,201001-201010,0.229265,20.259015134784658,,29.0
1314,2010-01-04,2010-09-30,7.15,12.56,201001-201010,0.75664336,37.77899550070502,winner,6.0
1319,2010-01-04,2010-09-30,31.61,30.24,201001-201010,-0.04334071,11.202809857727438,,91.0
1326,2010-01-04,2010-09-30,35.16,40.94,201001-201010,0.16439135,18.103854512976834,,45.0
1402,2010-01-04,2010-09-30,18.24,20.79,201001-201010,0.13980263,17.286995262963025,,47.0
1434,2010-01-04,2010-09-30,13.07,13.43,201001-201010,0.02754399,13.557662931797744,,72.0
1503,2010-01-04,2010-09-30,26.6,23.8,201001-201010,-0.10526316,9.145690737007948,,101.0
1504,2010-01-04,2010-09-30,7.71,10.31,201001-201010,0.33722438,23.845522207082684,,20.0
1605,2010-01-04,2010-09-30,8.14,11.88,201001-201010,0.45945946,27.90628078964323,winner,12.0
1704,2010-01-04,2010-09-30,24.92,40.58,201001-201010,0.62841091,33.518998927705965,winner,9.0
1710,2010-01-04,2010-09-30,13.51,15.34,201001-201010,0.13545522,17.142570418070626,,49.0
1717,2010-01-04,2010-09-30,13.99,15.18,201001-201010,0.08506076,15.468421426156814,,60.0
1722,2010-01-04,2010-09-30,62.82,54.58,201001-201010,-0.13116842,8.285094851780382,,107.0
1802,2010-01-04,2010-09-30,17.97,22.71,201001-201010,0.26377295,21.405400068872893,,24.0
1907,2010-01-04,2010-09-30,7.57,8.26,201001-201010,0.09114927,15.670687168834824,,58.0
2002,2010-01-04,2010-09-30,17.88,18.07,201001-201010,0.0106264,12.995645475035406,,76.0
2006,2010-01-04,2010-09-30,24.39,20.7,201001-201010,-0.15129151,7.616587820696194,,115.0
2014,2010-01-04,2010-09-30,14.37,11.7,201001-201010,-0.18580376,6.470060036765629,,127.0
2015,2010-01-04,2010-09-30,22.56,21.85,201001-201010,-0.03147163,11.59711130111912,,88.0
2101,2010-01-04,2010-09-30,26.65,26.46,201001-201010,-0.00712946,12.405779939824537,,83.0
2103,2010-01-04,2010-09-30,15.92,20.64,201001-201010,0.29648241,22.492037558093834,,21.0
2105,2010-01-04,2010-09-30,24.61,30.16,201001-201010,0.22551808,20.13453910426897,,32.0
2201,2010-01-04,2010-09-30,47.56,69.83,201001-201010,0.46825063,28.19833131252299,winner,11.0
